id,gc_content,g_fraction,t_fraction,gt_dinuc_fraction,length,label
pos_006013,0.4175824175824176,0.2087912087912088,0.3516483516483517,0.15555555555555556,91,1
pos_010902,0.3076923076923077,0.2,0.47692307692307695,0.125,65,1
pos_004517,0.6756756756756757,0.3783783783783784,0.1891891891891892,0.1388888888888889,37,1
pos_010298,0.3194444444444444,0.3194444444444444,0.5416666666666666,0.29577464788732394,72,1
neg_003476,0.6,0.16,0.2,0.041666666666666664,25,0
neg_007671,0.576271186440678,0.22033898305084745,0.2711864406779661,0.034482758620689655,59,0
neg_004553,0.43137254901960786,0.19607843137254902,0.2549019607843137,0.04,51,0
neg_013779,0.3673469387755102,0.14285714285714285,0.3469387755102041,0.041237113402061855,98,0
neg_008348,0.42424242424242425,0.21212121212121213,0.3333333333333333,0.08163265306122448,99,0
pos_019140,0.4188034188034188,0.38461538461538464,0.3247863247863248,0.11206896551724138,117,1
neg_006752,0.3793103448275862,0.19540229885057472,0.3218390804597701,0.09302325581395349,87,0
neg_015654,0.5357142857142857,0.30357142857142855,0.1875,0.036036036036036036,112,0
pos_006684,0.5617977528089888,0.39325842696629215,0.3258426966292135,0.17045454545454544,89,1
neg_008286,0.35,0.1,0.4,0.05128205128205128,40,0
pos_003184,0.3854166666666667,0.2604166666666667,0.3958333333333333,0.12631578947368421,96,1
neg_009580,0.43636363636363634,0.21818181818181817,0.23636363636363636,0.037037037037037035,55,0
neg_003075,0.29347826086956524,0.15217391304347827,0.42391304347826086,0.054945054945054944,92,0
neg_017788,0.2916666666666667,0.11458333333333333,0.2604166666666667,0.021052631578947368,96,0
pos_007488,0.5769230769230769,0.4230769230769231,0.3076923076923077,0.2,26,1
neg_018137,0.6666666666666666,0.2777777777777778,0.16666666666666666,0.056338028169014086,72,0
neg_014460,0.4157303370786517,0.19101123595505617,0.2696629213483146,0.03409090909090909,89,0
neg_006634,0.4056603773584906,0.1792452830188679,0.2358490566037736,0.01904761904761905,106,0
neg_003928,0.0,0.0,0.0,0.0,34,0
neg_005594,0.23255813953488372,0.11627906976744186,0.37209302325581395,0.0,43,0
neg_018930,0.75,0.5833333333333334,0.16666666666666666,0.18181818181818182,12,0
neg_003786,0.2647058823529412,0.20588235294117646,0.27941176470588236,0.029850746268656716,68,0
neg_004015,0.4772727272727273,0.3409090909090909,0.2727272727272727,0.06976744186046512,44,0
pos_013234,0.4166666666666667,0.2878787878787879,0.4318181818181818,0.22137404580152673,132,1
neg_008101,0.0,0.0,0.0,0.0,29,0
pos_003175,0.5063291139240507,0.3670886075949367,0.379746835443038,0.2564102564102564,79,1
pos_014201,0.6666666666666666,0.5151515151515151,0.21212121212121213,0.15625,33,1
neg_018600,0.5,0.14473684210526316,0.3815789473684211,0.05333333333333334,76,0
neg_019081,0.8333333333333334,0.16666666666666666,0.0,0.0,6,0
pos_000214,0.5185185185185185,0.3888888888888889,0.3333333333333333,0.22641509433962265,54,1
neg_019394,0.25,0.03571428571428571,0.42857142857142855,0.0,28,0
neg_016962,0.4523809523809524,0.2261904761904762,0.32142857142857145,0.04819277108433735,84,0
neg_016923,0.5641025641025641,0.3076923076923077,0.23076923076923078,0.10526315789473684,39,0
pos_007727,0.3492063492063492,0.29365079365079366,0.4603174603174603,0.256,126,1
pos_002641,0.4225352112676056,0.23943661971830985,0.39436619718309857,0.08571428571428572,71,1
pos_018764,0.4418604651162791,0.32558139534883723,0.4418604651162791,0.14285714285714285,43,1
neg_004396,0.5683453237410072,0.23741007194244604,0.2302158273381295,0.050724637681159424,139,0
pos_016785,0.4222222222222222,0.4,0.4444444444444444,0.3409090909090909,45,1
pos_004669,0.6585365853658537,0.4634146341463415,0.21951219512195122,0.05,41,1
pos_004394,0.5692307692307692,0.46153846153846156,0.2923076923076923,0.25,65,1
neg_013774,0.46551724137931033,0.3793103448275862,0.3275862068965517,0.15789473684210525,58,0
pos_006388,0.6666666666666666,0.42857142857142855,0.23809523809523808,0.2,21,1
pos_005780,0.5161290322580645,0.3548387096774194,0.3548387096774194,0.26666666666666666,31,1
neg_006100,0.5294117647058824,0.38235294117647056,0.23529411764705882,0.07462686567164178,68,0
pos_017995,0.4166666666666667,0.375,0.4583333333333333,0.30434782608695654,24,1
pos_001023,0.34782608695652173,0.2753623188405797,0.4057971014492754,0.17647058823529413,69,1
pos_013534,0.4056603773584906,0.330188679245283,0.3490566037735849,0.2571428571428571,106,1
neg_002391,0.4375,0.25,0.375,0.0425531914893617,48,0
neg_006011,0.3486238532110092,0.09174311926605505,0.1926605504587156,0.0,109,0
pos_010132,0.4298245614035088,0.34210526315789475,0.40350877192982454,0.23008849557522124,114,1
pos_001656,0.3670886075949367,0.34177215189873417,0.35443037974683544,0.20512820512820512,79,1
pos_015384,0.40298507462686567,0.3582089552238806,0.4626865671641791,0.3484848484848485,67,1
